domain,chord_IP,chord_time,reg_IP,reg_time,eq,code,url
news.livedoor.com,147.92.146.246,1187,147.92.146.246,145.438761,1,403,https://news.livedoor.com
asa.scitation.org,20.85.172.21,3375,20.85.172.21,119.786873,1,403,https://asa.scitation.org
harrypotter.wikia.com,151.101.192.194_151.101.0.194_,1088,151.101.0.194,313.23461,1,200,https://harrypotter.wikia.com
slotmitosbet61.weebly.com,199.34.228.53,1203,199.34.228.53,3.913687,1,404,https://slotmitosbet61.weebly.com
skincancer.org,141.193.213.10,1112,141.193.213.10,190.287107,1,403,https://skincancer.org
ingenico.com,104.22.16.79,3970,104.22.17.79,231.302277,0,200,https://ingenico.com
communication.aver.com,18.245.31.8_18.245.31.31_18.245.31.44_,1075,18.66.41.47,102.50491,0,200,https://communication.aver.com
choosemyplate.gov,199.134.75.32,1625,199.134.75.32,800.10306,1,403,https://choosemyplate.gov
thesportster.com,34.203.187.62,2690,34.203.187.62,66.603426,1,error,
dmca.com,13.107.213.70,1088,13.107.213.70,63.948243,1,200,https://dmca.com
svgco.de,185.199.110.153_185.199.108.153_,2730,185.199.111.153,32.033167,0,200,https://svgco.de
prestoplayer.com,188.114.96.3,1122,172.67.212.112,133.20636,0,200,https://prestoplayer.com
csis-prod.s3.amazonaws.com,52.92.201.201_52.92.203.193_52.92.251.233_52.218.178.35_52.92.249.17_,1214,52.92.194.201,4.718011,0,403,https://csis-prod.s3.amazonaws.com
margriet.nl,23.213.161.201_23.213.161.216_,427,23.212.254.83,126.633299,0,200,https://margriet.nl
stackadapt.com,34.204.55.14,3986,34.204.55.14,2.856562,1,200,https://stackadapt.com
claremont.org,141.193.213.20,3988,141.193.213.20,114.80088,1,403,https://claremont.org
facs.nsw.gov.au,43.245.43.101,2456,43.245.43.101,315.939084,1,200,https://facs.nsw.gov.au
jps.auckland.ac.nz,130.216.156.250,3985,130.216.156.250,529.479217,1,error,
hal-lirmm.ccsd.cnrs.fr,193.48.96.10,2681,193.48.96.10,705.947786,1,200,https://hal-lirmm.ccsd.cnrs.fr
support.sugarcrm.com,108.138.7.87,1079,18.172.78.72,70.440643,0,200,https://support.sugarcrm.com
ethanzuckerman.com,130.211.117.171,1224,130.211.117.171,315.985992,1,403,https://ethanzuckerman.com
aau.at,143.205.180.80,1099,143.205.180.80,194.973949,1,200,https://aau.at
cojhtb.blogspot.com,142.250.186.65,1091,216.58.203.1,62.601255,0,200,https://cojhtb.blogspot.com
investors-corner.bnpparibas-am.com,23.11.206.83_2.17.100.168_,1104,23.212.254.18,179.02957,0,200,https://investors-corner.bnpparibas-am.com
